PW,AMP,MW
5.00E-08,2,-0.009130589
1.00E-07,2,-0.029130589
5.00E-07,2,-0.069130589
1.00E-06,2,-0.089130589
5.00E-06,2,-0.126560473
1.00E-05,2,-0.151897769
5.00E-08,2.5,-0.109568834
1.00E-07,2.5,-0.084674328
5.00E-07,2.5,-0.095062399
1.00E-06,2.5,0.020111257
5.00E-06,2.5,0.165598309
1.00E-05,2.5,0.336954534
5.00E-08,3,0.009426972
1.00E-07,3,0.122180455
5.00E-07,3,0.441022714
1.00E-06,3,0.544483518
5.00E-06,3,1.042605514
1.00E-05,3,1.121178788
5.00E-08,3.5,0.306155015
1.00E-07,3.5,0.509326734
5.00E-07,3.5,1.256866892
1.00E-06,3.5,1.279987915
5.00E-06,3.5,1.389033407
1.00E-05,3.5,1.359033407
5.00E-08,4,1.0793
1.00E-07,4,1.428843833
5.00E-07,4,1.508509355
1.00E-06,4,1.498509355
5.00E-06,4,1.508509355
1.00E-05,4,1.498509355
5.00E-08,4.5,1.481302294
1.00E-07,4.5,1.514768112
5.00E-07,4.5,1.476178533
1.00E-06,4.5,1.504768112
5.00E-06,4.5,1.524768112
1.00E-05,4.5,1.504768112